"bidder_id","mean_diff_between_bids","sd_diff_between_bids","diff_between_first_last_bids","mean_diff_between_auction_first_bid_user_auction_first_bid","mean_diff_between_auction_last_bid_user_auction_last_bid","mean_bidding_frequency","num_of_bids","num_of_auctions","avg_num_of_bids_per_auction","max_bids_per_auctions","min_bids_per_auctions","num_of_merchandise","type_of_merchandise","num_of_auto_parts_bids","num_of_books_music_bids","num_of_clothing_bids","num_of_computers_bids","num_of_furniture_bids","num_of_home_goods_bids","num_of_jewelry_bids","num_of_mobile_bids","num_of_office_equipment_bids","num_of_sporting_goods_bids","num_of_devices","avg_num_of_bids_per_device","avg_num_of_auctions_per_device","max_bids_per_device","device_of_max_bids","num_of_countries","avg_num_of_bids_per_country","avg_num_of_auctions_per_country","max_bids_per_country","country_with_most_bids","num_of_urls","avg_num_of_bids_per_url","avg_num_of_auctions_per_url","max_bids_per_url","num_of_ips","avg_num_of_bids_per_ip","avg_num_of_auctions_per_ip","max_bids_per_ip","avg_num_of_ip_per_country","max_ip_per_country","country_of_max_ips","device_of_max_ips","mean_ratio_user_bids_total_bids_per_auction","did_put_last_bid_in_auction"
3831,571112128146,743873574821,13135578947369,5417429824561,5689728070175,895552631579,24,18,1.33333333333333,3,1,1,6,0,0,0,0,0,24,0,0,0,0,14,1.71428571428571,1.28571428571429,6,"phone4",6,4,3,13,"ke",1,24,18,24,20,1.2,0.9,4,3.33333333333333,13,"ke","phone4",0.0295471658609031,"FALSE"
2573,3233578947368,1759653833055,6467157894737,4803947368421,2370947368422,3233578947368,3,1,3,3,3,1,9,0,0,0,0,0,0,0,0,3,0,2,1.5,0.5,2,"phone293",1,3,1,3,"id",2,1.5,0.5,2,3,1,0.333333333333333,1,3,3,"id","phone293",1.43591510869877e-05,"FALSE"
719,2379000000000,861884665883,7137000000000,8173644736841,2950684210525,NA,4,4,1,1,1,1,10,0,0,0,0,0,0,0,0,0,4,2,2,2,3,"phone4",1,4,4,4,"id",2,2,2,3,4,1,1,1,4,4,"id","phone4",0.00140576288657486,"FALSE"
1999,NA,NA,0,74481421052631,2774684210527,NA,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,"phone58",1,1,1,1,"my",1,1,1,1,1,1,1,1,1,1,"my","phone58",0.000583090379008746,"FALSE"
1974,77778879015,215428490582,11977947368422,2298453089244,5807405034324,580323763955,155,23,6.73913043478261,38,1,1,9,0,0,0,0,0,0,0,0,155,0,53,2.92452830188679,0.433962264150943,19,"phone4",2,77.5,11.5,154,"in",91,1.7032967032967,0.252747252747253,54,123,1.26016260162602,0.186991869918699,8,61.5,154,"in","phone4",0.00176289008222948,"FALSE"
3338,NA,NA,0,1887000000000,11755052631580,NA,1,1,1,1,1,1,8,0,0,0,0,0,0,0,1,0,0,1,1,1,1,"phone1026",1,1,1,1,"cn",1,1,1,1,1,1,1,1,1,1,"cn","phone1026",4.78638369566258e-06,"FALSE"
977,1598902255639,2631665769520,11192315789473,3874322368420,8146539473684,NA,8,8,1,1,1,1,8,0,0,0,0,0,0,0,8,0,0,2,4,4,5,"phone293",1,8,8,8,"id",8,1,1,1,3,2.66666666666667,2.66666666666667,4,3,8,"id","phone293",0.00128426170769642,"FALSE"
3593,169607655502,368566517591,5597052631579,3608815789473,4272000000000,300364035087,34,10,3.4,6,1,1,6,0,0,0,0,0,34,0,0,0,0,3,11.3333333333333,3.33333333333333,32,"phone46",3,11.3333333333333,3.33333333333333,19,"de",1,34,10,34,32,1.0625,0.3125,2,10.6666666666667,19,"de","phone46",0.0107316584850387,"FALSE"
2303,68219894736842,NA,68219894736842,4157500000000,38377315789474,NA,2,2,1,1,1,1,7,0,0,0,0,0,0,2,0,0,0,2,1,1,1,"phone258",1,2,2,2,"in",2,1,1,1,2,1,1,1,2,2,"in","phone258",0.000153742800593619,"FALSE"
5507,5313914979757,15671881859386,69080894736842,56063426315789,11906226315789,1605592105263,14,10,1.4,3,1,1,8,0,0,0,0,0,0,0,14,0,0,11,1.27272727272727,0.909090909090909,3,"phone393",5,2.8,2,8,"in",7,2,1.42857142857143,5,12,1.16666666666667,0.833333333333333,3,2.4,8,"in","phone393",0.000307844249033836,"FALSE"
